resume_idx,job_idx,cosine_similarity
23,2937,0.862859
24,5289,0.90411854
24,2856,0.8936392
24,3321,0.88835025
24,1178,0.8754114
24,3160,0.87193817
25,3321,0.8463979
25,2856,0.83934623
25,2403,0.8304726
25,3160,0.82370096
25,2937,0.8179499
26,4289,0.8721837
26,5289,0.8538897
26,3321,0.8428955
26,2856,0.84205556
26,4674,0.8269148
27,5289,0.8785961
27,3321,0.8661903
27,3160,0.8435905
27,2403,0.83655584
27,4289,0.836349
28,2856,0.83282375
28,3160,0.83244324
28,1178,0.82725334
28,2624,0.81796724
28,2937,0.810711
29,4674,0.8020537
29,2403,0.80071783
29,3321,0.7849717
29,2856,0.7656016
29,1178,0.7655119
30,3321,0.85192686
30,2856,0.8401849
30,5289,0.8274613
30,3160,0.82211035
30,1178,0.82165885
31,3321,0.90565115
31,1178,0.8957219
31,2937,0.8907741
31,2403,0.8906654
31,3160,0.89052767
32,3321,0.83194566
32,2937,0.80610615
32,2403,0.79872245
32,3160,0.7862493
32,4837,0.7820167
33,3160,0.84301466
33,3321,0.83960694
33,2856,0.83899367
33,4674,0.834154
33,2403,0.81548357
34,5289,0.8507464
34,4289,0.8478187
34,4674,0.81718206
34,3321,0.81563276
34,2856,0.8112739
35,2856,0.8969734
35,3321,0.89401364
35,5289,0.88825345
35,3160,0.87867045
35,2937,0.8689969
36,3160,0.9132806
36,2856,0.9099017
36,3321,0.90191257
36,2937,0.8939861
36,3248,0.8939178
37,3160,0.87139845
37,1178,0.85603225
37,2856,0.833359
37,2937,0.82640034
37,3321,0.82158256
38,4674,0.841927
38,2624,0.8397679
38,2403,0.8363879
38,2856,0.8338487
38,3160,0.8320169
39,5289,0.86969244
39,3321,0.848315
39,4289,0.8455365
39,2403,0.8425386
39,4674,0.8353375
40,2403,0.8786042
40,3248,0.86737466
40,2937,0.8662671
40,2856,0.8659066
40,3321,0.8614296
41,2937,0.90458465
41,3321,0.8887045
41,2856,0.8785897
41,3248,0.8729172
41,3160,0.8707291
42,2856,0.88416576
42,5289,0.871573
42,1178,0.8540346
42,3321,0.85370743
42,4674,0.8464111
43,2624,0.8577583
43,2403,0.84412616
43,3321,0.8343041
43,2856,0.83038527
43,2529,0.82284844
44,5289,0.8791573
44,2856,0.8506203
44,1178,0.83927643
44,2937,0.83228743
